Channel_Pre_IBA1,Channel_ROI_Mask,Count_Filtered_Microglia_Soma,Count_Masked_Microglia,Count_Microglia_soma,Count_Microglia_total,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05MaskImage,ExecutionTime_06EnhanceOrSuppressFeatures,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08EnhanceOrSuppressFeatures,ExecutionTime_09IdentifySecondaryObjects,ExecutionTime_10OverlayObjects,ExecutionTime_11MaskObjects,ExecutionTime_12ConvertObjectsToImage,ExecutionTime_13ConvertObjectsToImage,ExecutionTime_14SaveImages,ExecutionTime_15SaveCroppedObjects,ExecutionTime_16MeasureObjectSizeShape,ExecutionTime_17MeasureTexture,ExecutionTime_18MeasureObjectSkeleton,ExecutionTime_19MeasureObjectNeighbors,ExecutionTime_20ImageMath,ExecutionTime_21SaveImages,FileName_Microglia_impression_for_MoBIE,FileName_Pre_IBA1,FileName_ROI_Mask,FileName_ROI_MaskForMobie,Frame_Pre_IBA1,Frame_ROI_Mask,Group_Index,Group_Length,Group_Number,Height_Pre_IBA1,Height_ROI_Mask,ImageNumber,ImageSet_ImageSet,MD5Digest_Pre_IBA1,MD5Digest_ROI_Mask,Metadata_Cortex_region,Metadata_FileLocation,Metadata_Frame,Metadata_Iteration,Metadata_Layer,Metadata_Pt_type,Metadata_Sample_number,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05MaskImage,ModuleError_06EnhanceOrSuppressFeatures,ModuleError_07IdentifyPrimaryObjects,ModuleError_08EnhanceOrSuppressFeatures,ModuleError_09IdentifySecondaryObjects,ModuleError_10OverlayObjects,ModuleError_11MaskObjects,ModuleError_12ConvertObjectsToImage,ModuleError_13ConvertObjectsToImage,ModuleError_14SaveImages,ModuleError_15SaveCroppedObjects,ModuleError_16MeasureObjectSizeShape,ModuleError_17MeasureTexture,ModuleError_18MeasureObjectSkeleton,ModuleError_19MeasureObjectNeighbors,ModuleError_20ImageMath,ModuleError_21SaveImages,PathName_Microglia_impression_for_MoBIE,PathName_Pre_IBA1,PathName_ROI_Mask,PathName_ROI_MaskForMobie,ProcessingStatus,Scaling_Pre_IBA1,Scaling_ROI_Mask,Series_Pre_IBA1,Series_ROI_Mask,Threshold_FinalThreshold_Microglia_soma,Threshold_FinalThreshold_Microglia_total,Threshold_OrigThreshold_Microglia_soma,Threshold_OrigThreshold_Microglia_total,Threshold_SumOfEntropies_Microglia_soma,Threshold_SumOfEntropies_Microglia_total,Threshold_WeightedVariance_Microglia_soma,Threshold_WeightedVariance_Microglia_total,URL_Microglia_impression_for_MoBIE,URL_Pre_IBA1,URL_ROI_Mask,URL_ROI_MaskForMobie,Width_Pre_IBA1,Width_ROI_Mask
-1,-1,34.0,34.0,35.0,34.0,0.0,0.0,0.703125,0.0,0.109375,0.484375,1.4375,0.421875,1.90625,0.46875,0.234375,0.015625,0.015625,0.0625,0.453125,14.84375,0.53125,1.09375,3.109375,0.0,0.0625,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,0,0,1,2,1,1442,1442,1,b'eLviV2ioGy0gB7qAHG0I07chDA1sKoUwKKHbAQBYEQHs',e7fe8aaf54fef630d3f8d322d396b555,4f131db5cad54476132d9a300310ff9a,FC,nan,0,1,1,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.03335750699043274,0.0025978015735745427,0.08339377,0.014432231,-12.686118036488603,-13.675598102296133,1.584502089011999,0.36561587517312916,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL1.1-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL1.1-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL1.1.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL1.1.tiff,1649,1649
-1,-1,38.0,38.0,39.0,38.0,0.0,0.0,0.3125,0.0,0.125,0.609375,1.90625,0.59375,2.453125,0.34375,0.34375,0.0,0.015625,0.078125,0.796875,14.5625,0.640625,1.328125,2.9375,0.0625,0.125,iba1-AD11FCL1.2-normalized_total_label.tiff,iba1-AD11FCL1.2-normalized.tif,mask-AD11FCL1.2.tif,mask-AD11FCL1.2.tiff,0,0,2,2,1,1786,1786,2,b'eLviV2ioGy0gB7qAhDeER8tHujSEoYFNpRAGJXQ7AFoYAe4=',fdec9cfe8021fd3a7596b65e0264c911,251e281c1898c0b26a7c41ff9596a8b1,FC,nan,0,2,1,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.03266336619853973,0.0026505468785762787,0.081658415,0.01472526,-12.656840326426614,-13.623649632929412,1.3647024854888625,0.3103182285931108,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL1.2-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL1.2-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL1.2.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL1.2.tiff,1633,1633
-1,-1,27.0,27.0,30.0,27.0,0.0,0.0,0.6875,0.0,0.078125,0.578125,2.125,0.53125,2.109375,0.53125,0.4375,0.03125,0.046875,0.125,0.703125,17.015625,0.25,1.421875,2.671875,0.0,0.0625,iba1-AD11FCL2.1-normalized_total_label.tiff,iba1-AD11FCL2.1-normalized.tif,mask-AD11FCL2.1.tif,mask-AD11FCL2.1.tiff,0,0,1,2,2,1787,1787,3,b'eLviV2ioGy0gB7qAhDaEjUYbwvRpCEMDm0ohDErodgBaHAHu',31ae86853194c134e3519173873c140a,43eec8e88616a835e35f360dddbb27c1,FC,nan,0,1,2,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.03195990324020386,0.002198359966278076,0.07989976,0.012213111,-12.636904155492166,-13.641756047207032,1.7483565735544075,0.31916736783290695,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL2.1-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL2.1-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL2.1.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL2.1.tiff,1633,1633
-1,-1,29.0,29.0,29.0,29.0,0.0,0.0,0.265625,0.0,0.15625,0.71875,2.296875,0.65625,2.71875,0.640625,0.515625,0.0,0.03125,0.0625,0.78125,14.09375,0.4375,1.40625,2.6875,0.015625,0.078125,iba1-AD11FCL2.2-normalized_total_label.tiff,iba1-AD11FCL2.2-normalized.tif,mask-AD11FCL2.2.tif,mask-AD11FCL2.2.tiff,0,0,2,2,2,1787,1787,4,b'eLviV2ioGy0gB7qAhDaEjUbLR/o0hKGBTaUQBiV0OwBcIwHw',0b996757358aece0d9f8a0dbbb75c386,43eec8e88616a835e35f360dddbb27c1,FC,nan,0,2,2,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.028885805606842042,0.002449117675423622,0.072214514,0.013606209,-12.606251146637279,-13.658987903269253,1.4774025607230765,0.33915910102437,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL2.2-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL2.2-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL2.2.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL2.2.tiff,1633,1633
-1,-1,40.0,40.0,42.0,40.0,0.0,0.0,0.59375,0.0,0.078125,0.5,1.59375,0.484375,1.734375,0.34375,0.265625,0.015625,0.015625,0.046875,0.5625,14.75,0.40625,1.125,3.40625,0.015625,0.03125,iba1-AD11FCL3.1-normalized_total_label.tiff,iba1-AD11FCL3.1-normalized.tif,mask-AD11FCL3.1.tif,mask-AD11FCL3.1.tiff,0,0,1,2,3,1478,1478,5,b'eLviV2ioGy0gB7qAhDaEjUcbwvRpCEMDm0ohDErodgBcJwHw',ebe4351ff8af9611903303ceb45fbb89,1563b4710ddb18b7b0f09334a788f497,FC,nan,0,1,3,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.021222248673439026,0.0027833058312535285,0.05305562,0.01546281,-12.680183164301475,-13.62054761786611,1.425220153019171,0.3179309051959932,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL3.1-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL3.1-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL3.1.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL3.1.tiff,1624,1624
-1,-1,35.0,35.0,35.0,35.0,0.0,0.0,0.25,0.0,0.078125,0.53125,1.4375,0.421875,1.828125,0.671875,0.28125,0.03125,0.046875,0.0625,0.484375,11.578125,0.703125,1.578125,3.65625,0.0,0.046875,iba1-AD11FCL3.2-normalized_total_label.tiff,iba1-AD11FCL3.2-normalized.tif,mask-AD11FCL3.2.tif,mask-AD11FCL3.2.tiff,0,0,2,2,3,1369,1369,6,b'eLviV2ioGy0gB7qAhDaER8tHOjWEoYFNpRAGJXQ7AF4uAfI=',8d385559350b54a9b2790421e6db3446,ab5075657e18ae482fafd575d2afd963,FC,nan,0,2,3,AD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.027915781736373903,0.0026637163572013375,0.069789454,0.014798424,-12.669707984539631,-13.703126118486084,1.4597619283922376,0.40346656972704276,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL3.2-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD11FCL3.2-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD11FCL3.2.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD11FCL3.2.tiff,1624,1624
-1,-1,6.0,6.0,6.0,6.0,0.0,0.0,0.515625,0.0,0.109375,0.46875,1.5,0.484375,1.75,0.515625,0.28125,0.015625,0.015625,0.0625,0.109375,13.390625,0.34375,1.640625,1.28125,0.0,0.046875,iba1-AD13FCL1.1-normalized_total_label.tiff,iba1-AD13FCL1.1-normalized.tif,mask-AD13FCL1.1.tif,mask-AD13FCL1.1.tiff,0,0,1,4,4,1516,1516,7,b'eLviV2ioGy0gB7qABLYHjEcbwvRrCEMDm0ohDErodgBcNwHw',52c13ca0e59d9ab69190ba88a1953ec5,abe6978ede043b2d52d3888d65929550,FC,nan,0,1,1,AD,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.050827777385711675,0.002608836181461811,0.12706944,0.014493534,-12.364179749455833,-13.652112451808733,1.1400681409888924,0.3977698342391415,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.1-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.1-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD13FCL1.1.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD13FCL1.1.tiff,1623,1623
-1,-1,9.0,9.0,9.0,9.0,0.0,0.0,0.328125,0.0,0.125,0.71875,1.828125,0.296875,1.796875,0.328125,0.1875,0.015625,0.0,0.015625,0.15625,10.671875,0.46875,1.484375,1.859375,0.0,0.0625,iba1-AD13FCL1.2-normalized_total_label.tiff,iba1-AD13FCL1.2-normalized.tif,mask-AD13FCL1.2.tif,mask-AD13FCL1.2.tiff,0,0,2,4,4,1528,1528,8,b'eLviV2ioGy0gB7qABLYHjEfbA/RrCEMDm0ohDErodgBePgHy',63a980dfa71f85dd90718c1f43bcb805,9f6b1afd8fd6df96f4a45d664f21dbb2,FC,nan,0,2,1,AD,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.05344161987304688,0.0024640830606222153,0.13360405,0.01368935,-12.184686346699799,-13.607733094147585,1.1295720906741267,0.39344665828626146,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.2-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.2-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD13FCL1.2.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD13FCL1.2.tiff,1647,1647
-1,-1,12.0,12.0,12.0,12.0,0.0,0.0,0.203125,0.0,0.140625,0.84375,2.578125,0.75,2.109375,0.3125,0.28125,0.03125,0.015625,0.015625,0.171875,9.21875,0.46875,1.078125,2.359375,0.03125,0.015625,iba1-AD13FCL1.3-normalized_total_label.tiff,iba1-AD13FCL1.3-normalized.tif,mask-AD13FCL1.3.tif,mask-AD13FCL1.3.tiff,0,0,3,4,4,1811,1811,9,b'eLviV2ioGy0gB7qABLYHjCGZdbR8pEdDGBrYVAphUEK3AwBgRQH0',4bdb0cbfff72bc22c56b58109ecec48b,38c902ec61a439102e7e9e21cedef203,FC,nan,0,3,1,AD,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.06490219831466675,0.0024839743226766587,0.1622555,0.013799857,-12.124794059137237,-13.605378725423321,1.065312289607218,0.3733645839504608,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.3-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.3-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD13FCL1.3.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD13FCL1.3.tiff,1628,1628
-1,-1,12.0,12.0,12.0,12.0,0.0,0.0,0.328125,0.0,0.203125,0.84375,2.265625,0.953125,2.40625,0.71875,0.4375,0.015625,0.0625,0.125,0.328125,11.390625,0.40625,1.34375,1.96875,0.015625,0.109375,iba1-AD13FCL1.4-normalized_total_label.tiff,iba1-AD13FCL1.4-normalized.tif,mask-AD13FCL1.4.tif,mask-AD13FCL1.4.tiff,0,0,4,4,4,1880,1880,10,b'eLviV2ioGy0gB7qABLYHjMGZ1WS0fKRHQxga2FQKYVBCtwMAYkwB9g==',51dc44d77e526fbad11e0237cceda3de,2a012a8debe142276ca679023b08481e,FC,nan,0,4,1,AD,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,Done,65535,255,0,0,0.06677908301353455,0.002719088718295097,0.16694771,0.015106048,-12.412983503367723,-13.743803264594002,0.931098104103332,0.4829652015780775,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.4-normalized_total_label.tiff,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/iba1-AD13FCL1.4-normalized.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/ROI%20Masks/mask-AD13FCL1.4.tif,file:///D:/GeoMx%20Images/GeoMx%20DIArun1/IBA1%20only/Original%20Images/Normalized%20Microglia/mask-AD13FCL1.4.tiff,1636,1636
