ImageNumber	ObjectNumber	Metadata_Cortex_region	Metadata_Cortex_region	Metadata_FileLocation	Metadata_Frame	Metadata_Iteration	Metadata_Layer	Metadata_Layer	Metadata_Pt_type	Metadata_Pt_type	Metadata_Sample_number	Metadata_Sample_number	Metadata_Series	FileName_Microglia_impression_for_MoBIE	FileName_Pre_IBA1	FileName_ROI_Mask	FileName_ROI_MaskForMobie	PathName_Microglia_impression_for_MoBIE	PathName_Pre_IBA1	PathName_ROI_Mask	PathName_ROI_MaskForMobie	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_Microglia_total
1	1	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1290.330258302583	210.55719557195573	1	1
1	2	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1160.1291390728477	306.68543046357615	2	2
1	3	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1336.6585623678648	329.7748414376321	3	3
1	4	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	971.8502340093604	358.7659906396256	4	4
1	5	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1384.7357859531774	358.85395763656635	5	5
1	6	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1184.407488986784	358.9306167400881	6	6
1	7	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1079.1007306889353	474.80845511482255	7	7
1	8	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1162.6024279210926	486.81487101669194	8	8
1	9	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1343.727969348659	502.2088122605364	9	9
1	10	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1409.1520991052994	514.8231245698555	10	10
