ImageNumber	ObjectNumber	Cluster
1	1	1
1	10	1
1	11	1
1	12	2
1	13	2
1	14	1
1	15	3
1	16	1
1	17	1
1	18	1
1	19	3
1	2	3
1	20	1
1	21	1
1	22	3
1	23	1
1	24	1
1	25	3
1	26	3
1	27	1
1	28	2
1	29	3
1	3	1
1	30	1
1	31	3
1	32	1
1	33	2
1	34	2
1	4	1
1	5	3
1	6	1
1	7	3
1	8	1
1	9	3
10	1	2
10	10	1
10	11	1
10	12	1
10	2	1
10	3	3
10	4	2
10	5	1
10	6	1
10	7	1
10	8	3
10	9	1
100	1	3
100	10	3
100	11	3
100	12	3
100	13	3
100	14	1
100	15	3
100	16	1
100	17	3
100	18	3
100	19	3
100	2	2
100	20	1
100	21	3
100	22	3
100	23	2
100	24	2
100	25	1
100	26	3
100	27	1
100	28	1
100	29	3
100	3	2
100	30	1
100	31	1
100	32	1
100	4	2
100	5	3
100	6	2
100	7	1
100	8	3
100	9	1
101	1	3
101	10	3
101	11	3
101	12	1
101	13	3
101	14	3
101	15	3
101	16	2
101	17	3
101	18	1
101	19	3
101	2	1
101	20	1
101	21	3
101	22	1
101	23	2
101	24	2
101	25	1
101	26	3
101	27	1
101	28	1
101	29	1
101	3	3
101	30	3
101	31	1
101	33	1
101	34	1
101	35	2
101	36	3
101	37	1
101	38	3
101	39	3
101	4	2
101	40	1
101	41	1
101	42	3
101	43	2
101	44	3
101	5	1
101	6	3
101	7	2
101	8	2
101	9	1
102	1	1
102	10	3
102	11	1
102	12	3
102	13	1
102	14	1
102	15	1
102	16	3
102	17	3
102	18	1
102	19	3
102	2	1
102	20	3
102	21	1
102	22	1
102	23	1
102	24	1
102	25	1
102	26	2
102	3	1
102	4	1
102	5	1
102	6	1
102	7	1
102	8	3
102	9	3
103	1	3
103	10	2
103	11	1
103	12	3
103	13	3
103	14	3
103	15	1
103	16	2
103	17	3
103	18	2
103	19	3
103	2	1
103	20	3
103	21	1
103	22	1
103	23	3
103	24	3
103	25	3
103	26	3
103	27	1
103	28	3
103	29	3
103	3	1
103	30	3
103	31	1
103	32	3
103	33	3
103	34	1
103	35	1
103	36	3
103	37	3
103	38	3
103	39	1
103	4	1
103	40	3
103	41	3
103	42	1
103	5	3
103	6	2
103	7	3
103	8	1
103	9	3
104	1	1
104	10	1
104	11	2
104	12	3
104	13	1
104	14	1
104	15	1
104	16	2
104	17	1
104	18	1
104	19	3
104	2	1
104	20	1
104	21	3
104	22	1
104	23	3
104	24	2
104	25	1
104	26	1
104	27	3
104	28	3
104	29	1
104	30	3
104	31	1
104	32	1
104	33	1
104	34	3
104	35	1
104	36	1
104	37	3
104	39	3
104	4	3
104	40	1
104	41	2
104	5	1
104	6	1
104	7	3
104	8	2
104	9	1
105	1	3
105	10	3
105	11	1
105	12	3
105	13	3
105	14	1
105	15	1
105	16	2
105	17	3
105	18	1
